"species","longitude","latitude"
"Cetorhinus maximus",-3.75,36.75
"Cetorhinus maximus",-4.75,36.25
"Cetorhinus maximus",-4.25,36.75
"Cetorhinus maximus",-4.75,36.75
"Cetorhinus maximus",-1.75,37.25
"Cetorhinus maximus",-1.25,37.75
"Cetorhinus maximus",-0.25,38.25
"Cetorhinus maximus",-0.25,39.25
"Cetorhinus maximus",-5.25,36.25
"Cetorhinus maximus",-8.75,38.75
"Cetorhinus maximus",-10.25,33.25
"Cetorhinus maximus",-15.75,32.25
"Cetorhinus maximus",-17.25,32.75
"Cetorhinus maximus",-68.75,39.75
"Cetorhinus maximus",-69.25,39.25
"Cetorhinus maximus",-69.25,39.75
"Cetorhinus maximus",-69.75,39.75
"Cetorhinus maximus",-79.75,32.25
"Cetorhinus maximus",-79.25,32.75
"Cetorhinus maximus",-79.75,32.75
"Cetorhinus maximus",-76.25,33.75
"Cetorhinus maximus",-77.75,33.25
"Cetorhinus maximus",-77.75,33.75
"Cetorhinus maximus",-78.25,33.25
"Cetorhinus maximus",-78.75,33.25
"Cetorhinus maximus",-79.25,33.25
"Cetorhinus maximus",-76.25,34.25
"Cetorhinus maximus",-76.75,34.25
"Cetorhinus maximus",-76.25,34.75
"Cetorhinus maximus",-76.75,34.75
"Cetorhinus maximus",-77.25,34.25
"Cetorhinus maximus",-74.75,36.25
"Cetorhinus maximus",-74.25,36.75
"Cetorhinus maximus",-70.25,37.75
"Cetorhinus maximus",-73.25,37.75
"Cetorhinus maximus",-74.75,37.25
"Cetorhinus maximus",-74.25,37.75
"Cetorhinus maximus",-74.75,37.75
"Cetorhinus maximus",-71.75,38.25
"Cetorhinus maximus",-73.75,38.25
"Cetorhinus maximus",-73.25,38.75
"Cetorhinus maximus",-73.75,38.75
"Cetorhinus maximus",-74.25,38.25
"Cetorhinus maximus",-74.25,38.75
"Cetorhinus maximus",-70.25,39.75
"Cetorhinus maximus",-70.75,39.75
"Cetorhinus maximus",-71.25,39.75
"Cetorhinus maximus",-71.75,39.75
"Cetorhinus maximus",-72.25,39.25
"Cetorhinus maximus",-72.75,39.25
"Cetorhinus maximus",-72.25,39.75
"Cetorhinus maximus",-72.75,39.75
"Cetorhinus maximus",-73.25,39.25
"Cetorhinus maximus",-73.25,39.75
"Cetorhinus maximus",-75.25,35.25
"Cetorhinus maximus",-75.75,35.25
"Cetorhinus maximus",-75.25,35.75
"Cetorhinus maximus",-75.75,35.75
"Cetorhinus maximus",-75.25,36.75
"Cetorhinus maximus",-75.75,36.75
"Cetorhinus maximus",-75.25,37.25
"Cetorhinus maximus",-75.75,37.25
"Cetorhinus maximus",-80.75,30.75
"Cetorhinus maximus",-80.75,31.25
"Cetorhinus maximus",-80.25,31.75
"Cetorhinus maximus",-81.25,31.25
"Cetorhinus maximus",-86.75,30.25
"Cetorhinus maximus",-114.75,30.25
"Cetorhinus maximus",-113.75,31.25
"Cetorhinus maximus",-114.75,31.25
"Cetorhinus maximus",-117.25,32.75
"Cetorhinus maximus",-117.25,33.25
"Cetorhinus maximus",-118.25,33.75
"Cetorhinus maximus",-119.25,34.25
"Cetorhinus maximus",-119.75,34.25
"Cetorhinus maximus",-120.25,34.25
"Cetorhinus maximus",-120.75,34.75
"Cetorhinus maximus",-122.25,34.25
"Cetorhinus maximus",-120.75,35.25
"Cetorhinus maximus",-121.75,36.75
"Cetorhinus maximus",-122.25,36.75
"Cetorhinus maximus",-122.25,37.25
"Cetorhinus maximus",-122.25,37.75
"Cetorhinus maximus",-122.75,37.75
"Cetorhinus maximus",-122.75,38.25
"Cetorhinus maximus",-1.25,44.75
"Cetorhinus maximus",-8.75,40.75
"Cetorhinus maximus",-8.75,42.25
"Cetorhinus maximus",-8.75,42.75
"Cetorhinus maximus",-6.75,43.75
"Cetorhinus maximus",-7.25,43.75
"Cetorhinus maximus",-8.75,43.25
"Cetorhinus maximus",-9.25,43.25
"Cetorhinus maximus",-9.25,43.75
"Cetorhinus maximus",-1.25,45.75
"Cetorhinus maximus",-1.75,45.75
"Cetorhinus maximus",-2.25,45.25
"Cetorhinus maximus",-2.75,45.25
"Cetorhinus maximus",-2.75,45.75
"Cetorhinus maximus",-3.75,45.25
"Cetorhinus maximus",-3.25,45.75
"Cetorhinus maximus",-2.25,46.25
"Cetorhinus maximus",-2.25,46.75
"Cetorhinus maximus",-2.75,46.75
"Cetorhinus maximus",-3.75,46.25
"Cetorhinus maximus",-4.75,46.75
"Cetorhinus maximus",-2.75,47.25
"Cetorhinus maximus",-3.25,47.25
"Cetorhinus maximus",-3.75,47.75
"Cetorhinus maximus",-4.25,47.25
"Cetorhinus maximus",-4.75,47.25
"Cetorhinus maximus",-4.25,47.75
"Cetorhinus maximus",-4.75,47.75
"Cetorhinus maximus",-1.75,48.75
"Cetorhinus maximus",-2.25,48.75
"Cetorhinus maximus",-2.75,48.75
"Cetorhinus maximus",-3.25,48.75
"Cetorhinus maximus",-3.75,48.75
"Cetorhinus maximus",-4.25,48.75
"Cetorhinus maximus",-4.75,48.75
"Cetorhinus maximus",-2.25,49.25
"Cetorhinus maximus",-2.75,49.25
"Cetorhinus maximus",-2.75,49.75
"Cetorhinus maximus",-3.25,49.75
"Cetorhinus maximus",-5.75,45.25
"Cetorhinus maximus",-5.75,46.75
"Cetorhinus maximus",-5.25,48.75
"Cetorhinus maximus",-6.25,48.25
"Cetorhinus maximus",-7.25,48.75
"Cetorhinus maximus",-5.25,49.75
"Cetorhinus maximus",-6.25,49.75
"Cetorhinus maximus",-9.25,49.75
"Cetorhinus maximus",-10.75,40.25
"Cetorhinus maximus",-10.75,48.75
"Cetorhinus maximus",-19.75,47.75
"Cetorhinus maximus",-23.75,43.75
"Cetorhinus maximus",-23.75,44.75
"Cetorhinus maximus",-26.75,42.75
"Cetorhinus maximus",-26.75,43.75
"Cetorhinus maximus",-27.75,43.75
"Cetorhinus maximus",-26.75,44.75
"Cetorhinus maximus",-27.75,44.75
"Cetorhinus maximus",-21.75,45.75
"Cetorhinus maximus",-24.75,45.75
"Cetorhinus maximus",-20.75,46.75
"Cetorhinus maximus",-21.75,46.75
"Cetorhinus maximus",-20.75,47.75
"Cetorhinus maximus",-27.75,46.75
"Cetorhinus maximus",-27.75,49.75
"Cetorhinus maximus",-57.25,43.75
"Cetorhinus maximus",-58.75,46.25
"Cetorhinus maximus",-59.75,47.75
"Cetorhinus maximus",-59.75,48.25
"Cetorhinus maximus",-59.25,49.25
"Cetorhinus maximus",-59.25,49.75
"Cetorhinus maximus",-59.75,49.75
"Cetorhinus maximus",-60.75,42.75
"Cetorhinus maximus",-64.75,42.75
"Cetorhinus maximus",-61.25,43.25
"Cetorhinus maximus",-62.75,43.25
"Cetorhinus maximus",-62.25,43.75
"Cetorhinus maximus",-62.75,43.75
"Cetorhinus maximus",-63.25,43.25
"Cetorhinus maximus",-63.25,43.75
"Cetorhinus maximus",-63.75,43.75
"Cetorhinus maximus",-64.25,43.25
"Cetorhinus maximus",-64.75,43.25
"Cetorhinus maximus",-64.25,43.75
"Cetorhinus maximus",-64.75,43.75
"Cetorhinus maximus",-60.75,44.75
"Cetorhinus maximus",-61.25,44.25
"Cetorhinus maximus",-61.75,44.25
"Cetorhinus maximus",-61.75,44.75
"Cetorhinus maximus",-62.25,44.25
"Cetorhinus maximus",-62.25,44.75
"Cetorhinus maximus",-63.25,44.25
"Cetorhinus maximus",-63.75,44.25
"Cetorhinus maximus",-66.75,40.25
"Cetorhinus maximus",-66.25,40.75
"Cetorhinus maximus",-66.75,40.75
"Cetorhinus maximus",-67.25,40.25
"Cetorhinus maximus",-67.75,40.25
"Cetorhinus maximus",-67.25,40.75
"Cetorhinus maximus",-67.75,40.75
"Cetorhinus maximus",-68.25,40.25
"Cetorhinus maximus",-68.75,40.25
"Cetorhinus maximus",-68.25,40.75
"Cetorhinus maximus",-68.75,40.75
"Cetorhinus maximus",-69.25,40.25
"Cetorhinus maximus",-69.75,40.25
"Cetorhinus maximus",-69.25,40.75
"Cetorhinus maximus",-69.75,40.75
"Cetorhinus maximus",-65.75,41.25
"Cetorhinus maximus",-65.25,41.75
"Cetorhinus maximus",-65.75,41.75
"Cetorhinus maximus",-66.25,41.25
"Cetorhinus maximus",-66.75,41.25
"Cetorhinus maximus",-66.25,41.75
"Cetorhinus maximus",-66.75,41.75
"Cetorhinus maximus",-67.25,41.25
"Cetorhinus maximus",-67.75,41.25
"Cetorhinus maximus",-67.25,41.75
"Cetorhinus maximus",-67.75,41.75
"Cetorhinus maximus",-68.25,41.25
"Cetorhinus maximus",-68.75,41.25
"Cetorhinus maximus",-68.25,41.75
"Cetorhinus maximus",-68.75,41.75
"Cetorhinus maximus",-69.25,41.25
"Cetorhinus maximus",-69.75,41.25
"Cetorhinus maximus",-69.25,41.75
"Cetorhinus maximus",-69.75,41.75
"Cetorhinus maximus",-65.75,42.25
"Cetorhinus maximus",-65.25,42.75
"Cetorhinus maximus",-65.75,42.75
"Cetorhinus maximus",-66.25,42.25
"Cetorhinus maximus",-66.75,42.25
"Cetorhinus maximus",-66.25,42.75
"Cetorhinus maximus",-67.25,42.25
"Cetorhinus maximus",-67.75,42.25
"Cetorhinus maximus",-67.25,42.75
"Cetorhinus maximus",-67.75,42.75
"Cetorhinus maximus",-68.25,42.25
"Cetorhinus maximus",-68.75,42.25
"Cetorhinus maximus",-68.25,42.75
"Cetorhinus maximus",-68.75,42.75
"Cetorhinus maximus",-69.25,42.25
"Cetorhinus maximus",-69.75,42.25
"Cetorhinus maximus",-69.25,42.75
"Cetorhinus maximus",-69.75,42.75
"Cetorhinus maximus",-65.25,43.25
"Cetorhinus maximus",-65.75,43.25
"Cetorhinus maximus",-66.25,43.75
"Cetorhinus maximus",-66.75,43.75
"Cetorhinus maximus",-67.25,43.25
"Cetorhinus maximus",-67.75,43.25
"Cetorhinus maximus",-67.25,43.75
"Cetorhinus maximus",-67.75,43.75
"Cetorhinus maximus",-68.25,43.25
"Cetorhinus maximus",-68.75,43.25
"Cetorhinus maximus",-68.25,43.75
"Cetorhinus maximus",-68.75,43.75
"Cetorhinus maximus",-69.25,43.25
"Cetorhinus maximus",-69.75,43.25
"Cetorhinus maximus",-69.25,43.75
"Cetorhinus maximus",-69.75,43.75
"Cetorhinus maximus",-65.25,44.75
"Cetorhinus maximus",-65.75,44.75
"Cetorhinus maximus",-66.25,44.25
"Cetorhinus maximus",-66.75,44.25
"Cetorhinus maximus",-66.25,44.75
"Cetorhinus maximus",-66.75,44.75
"Cetorhinus maximus",-67.25,44.25
"Cetorhinus maximus",-67.75,44.25
"Cetorhinus maximus",-68.25,44.25
"Cetorhinus maximus",-60.25,45.25
"Cetorhinus maximus",-60.75,45.25
"Cetorhinus maximus",-60.25,47.25
"Cetorhinus maximus",-60.25,47.75
"Cetorhinus maximus",-63.75,47.75
"Cetorhinus maximus",-64.25,47.75
"Cetorhinus maximus",-64.75,47.75
"Cetorhinus maximus",-63.75,48.25
"Cetorhinus maximus",-64.25,48.25
"Cetorhinus maximus",-64.25,48.75
"Cetorhinus maximus",-60.25,49.25
"Cetorhinus maximus",-63.25,49.75
"Cetorhinus maximus",-63.75,49.75
"Cetorhinus maximus",-64.25,49.25
"Cetorhinus maximus",-64.25,49.75
"Cetorhinus maximus",-64.75,49.75
"Cetorhinus maximus",-66.25,45.25
"Cetorhinus maximus",-66.75,45.25
"Cetorhinus maximus",-67.25,45.25
"Cetorhinus maximus",-67.25,48.75
"Cetorhinus maximus",-65.25,49.25
"Cetorhinus maximus",-65.75,49.25
"Cetorhinus maximus",-65.25,49.75
"Cetorhinus maximus",-66.75,49.75
"Cetorhinus maximus",-67.25,49.25
